date,Hitel
2026-02-25,49
2026-02-26,55
2026-02-27,42
2026-02-28,35
2026-03-01,49
2026-03-02,51
2026-03-03,61
2026-03-04,52
2026-03-05,49
2026-03-06,43
2026-03-07,43
2026-03-08,39
2026-03-09,56
2026-03-10,56
2026-03-11,51
2026-03-12,45
2026-03-13,44
2026-03-14,44
2026-03-15,35
2026-03-16,52
2026-03-17,51
2026-03-18,52
2026-03-19,46
2026-03-20,46
2026-03-21,43
2026-03-22,46
2026-03-23,46
2026-03-24,50
2026-03-25,48
2026-03-26,47
2026-03-27,43
2026-03-28,38
2026-03-29,40
2026-03-30,52
2026-03-31,45
2026-04-01,46
2026-04-02,45
2026-04-03,37
2026-04-04,32
2026-04-05,26
2026-04-06,37
2026-04-07,48
2026-04-08,38
2026-04-09,38
2026-04-10,52
2026-04-11,34
2026-04-12,21
2026-04-13,41
2026-04-14,48
2026-04-15,48
2026-04-16,41
2026-04-17,34
2026-04-18,24
2026-04-19,46
2026-04-20,52
2026-04-21,56
2026-04-22,49
2026-04-23,50
2026-04-24,45
2026-04-25,32
2026-04-26,31
2026-04-27,55
2026-04-28,50
2026-04-29,45
2026-04-30,37
2026-05-01,99
2026-05-02,100
2026-05-03,44
2026-05-04,50
2026-05-05,46
2026-05-06,42
2026-05-07,42
2026-05-08,31
2026-05-09,32
2026-05-10,39
2026-05-11,44
2026-05-12,44
2026-05-13,48
2026-05-14,46
2026-05-15,44
2026-05-16,43
2026-05-17,38
2026-05-18,48
2026-05-19,43
2026-05-20,41
2026-05-21,44
2026-05-22,38
2026-05-23,30
2026-05-24,30
2026-05-25,31
